사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-04,3호선,0310,구파발,138,0,9490,1269,29408,8847,82259,22182,70871,28559,41103,25123,29377,25196,27468,21541,29467,22308,26349,24557,26537,25303,29528,25900,34046,31886,34121,40786,28694,66722,18347,56734,14807,32376,12840,29478,8033,24082,2005,22632,6,4940,0,6,0,0,0,0
2022-04,3호선,0311,연신내,252,7,26393,1650,49992,10630,125433,23704,144658,33814,84077,34225,57293,32884,52293,33470,57530,36833,52768,42894,47430,42290,48125,53072,57089,63967,50149,84248,46054,130080,31977,112636,24605,62491,22073,59664,19051,50003,6946,36376,12,3776,0,1,0,0,0,0
2022-04,3호선,0312,불광,16,1,8884,1176,18688,5735,48727,10909,56565,31543,33955,28439,24404,24369,23180,22195,24082,23486,23850,26099,23939,25329,25169,28067,26718,32108,27365,37881,29028,55343,16348,43548,12798,26189,10672,22614,7007,19909,2197,14059,11,691,0,0,0,0,0,0
2022-04,3호선,0313,녹번,28,2,9446,600,24981,3704,66073,8666,71130,19028,41468,10894,25853,8980,21095,9915,21122,12000,19720,12655,17009,13910,15619,17726,16165,24581,17742,33740,20416,57426,9462,47242,6957,28046,5474,24812,4054,22902,1122,15050,3,95,1,1,1,1,0,0
2022-04,3호선,0314,홍제,80,2,9196,1250,23608,7390,59977,11762,64871,26015,41178,20528,29114,18308,26861,17359,29474,19531,26212,21454,23952,21906,24759,26580,27422,31831,27809,39020,26811,58679,14085,47689,10970,27657,8637,25833,6338,21981,1992,14959,1,2,0,0,0,0,0,0
2022-04,3호선,0315,무악재,16,1,1681,244,5120,3065,13300,3459,15363,6899,9681,4162,6701,3773,5864,3662,5639,3723,5245,4426,4699,4503,4798,5622,5414,6888,6171,9154,6893,14245,2818,11243,2067,7255,1531,6475,1292,5884,336,4070,1,2,0,0,0,0,0,0
2022-04,3호선,0316,독립문,123,4,5200,741,5870,4506,14657,13476,16261,19476,13740,16523,11294,15722,11114,12194,12256,11077,12236,12215,13017,10918,14180,10939,15860,11900,14873,13519,15998,16031,7687,12620,5215,7950,4435,6864,3098,6715,867,4548,2,4698,0,1,1,1,0,0
2022-04,3호선,0317,경복궁(정부서울청사),81,0,2314,1748,5723,13625,12695,41123,18313,102434,17982,68342,15114,44844,18107,41538,23063,39994,29482,41126,36275,35686,48026,30642,58577,29310,74423,30323,101147,35290,43715,22161,37602,11371,38587,9568,24569,8829,8052,5860,8,372,1,1,0,0,0,0
2022-04,3호선,0318,안국,20,1,1443,1408,3026,20190,5808,86573,8574,91292,8723,61782,10463,46918,14019,48849,20194,44861,25092,45703,33814,42645,47689,34030,65400,28014,104815,25034,105179,22756,46552,11390,37223,5830,34175,5024,21297,3858,5654,2917,4,118,0,0,0,0,0,0
2022-04,3호선,0319,종로3가,23,0,586,934,964,5195,1496,15066,2196,43892,3282,42259,5074,30342,7742,23206,9345,21073,11076,19404,12789,18912,16381,17756,19168,15388,29856,15750,51918,16370,28145,9513,16056,4348,18139,3138,14807,2075,6421,1754,20,345,0,1,0,0,0,0
2022-04,3호선,0320,을지로3가,32,0,580,834,925,8403,2120,30766,3218,67322,4146,29898,5098,14073,7142,11929,8384,10916,10028,11135,12268,9993,13161,10082,16764,10633,36032,14122,61084,18042,23878,9690,16322,4608,16505,3134,16074,2075,8262,1897,4,194,0,0,0,0,0,0
2022-04,3호선,0321,충무로,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,2,0,4,0,0,0,2,0,1,0,1,0,5,0,4,0,3,0,2,0,6,0,1,0,2,0,0,0,0,0,0,0
2022-04,3호선,0322,동대입구,15,0,1355,931,2699,8683,5700,13480,6896,46514,5795,33770,5902,24795,8301,20904,9595,17940,11990,19207,16825,15934,17944,12646,23623,12703,36768,13746,35835,15053,17181,7952,14600,4565,16460,4835,11728,3718,2948,2733,7,385,0,1,0,0,0,0
2022-04,3호선,0323,약수,123,0,6158,898,10069,5879,25519,16592,37128,34505,24941,19668,18259,14195,16710,13658,18549,14396,18689,14772,17746,16335,19120,17977,21507,22329,24672,26958,32342,39310,17546,25340,13401,16605,13244,15293,10412,15082,4036,9637,15,2934,0,0,0,0,0,0
2022-04,3호선,0324,금호,13,5,4436,510,9778,2888,24640,5153,33494,8791,20616,6305,13570,6222,11636,6539,11980,7717,11167,8909,9636,9876,9544,12438,10776,13914,10706,19523,10750,28883,7473,19287,5051,13409,4039,11756,3367,11155,1102,6239,0,0,0,0,0,0,0,0
2022-04,3호선,0325,옥수,191,21,2643,844,9563,4593,21785,8804,28069,14177,19571,10572,13999,8662,12487,9792,12951,11010,13684,12356,13544,12932,13684,15657,14841,17928,16544,23124,17661,31178,11066,22855,8329,14510,7619,12693,5600,12683,2084,7652,6,119,0,0,0,0,0,0
2022-04,3호선,0326,압구정,43,3,2860,1877,7228,23088,14437,43777,21642,135507,18623,144282,22893,72850,29247,54581,34427,46369,37122,50084,44893,47823,53258,41337,64884,43057,84708,49862,133575,55195,89822,31165,67181,14694,49224,10629,38269,9244,9611,5602,13,1933,0,0,0,0,0,0
2022-04,3호선,0327,신사,75,5,2979,1493,5619,18332,10240,43263,15708,106157,13553,139057,17753,69473,23113,48914,28701,47154,33333,49173,39826,47070,48736,42840,59645,44929,88580,51389,132255,66272,91904,37902,59753,15609,63751,10932,56972,9170,22361,6729,3,188,0,0,0,0,0,0
2022-04,3호선,0328,잠원,2,1,1083,736,4336,5683,10923,7109,14599,10458,9618,6517,7065,4705,6839,5035,7090,5436,6958,7062,6411,6527,7185,7161,9597,7756,10739,9890,9592,13034,6100,9778,4033,5893,4372,5688,3070,6549,847,3857,0,21,0,0,0,0,0,0
